,Brand_n_Model,Variant,Year,Kilometers,No_of_owners,Fuel,Price
0,Hyundai Creta 1.6 CRDi SX Plus,1.6 CRDi SX Plus,2017,"66,000 kms",First Owner,Diesel,11.5 Lakh*
1,Maruti Swift Vdi BSIII,Vdi BSIII,2008,"1,00,200 kms",Second Owner,Diesel,2.74 Lakh*
2,Mitsubishi Pajero Sport Select Plus 4X4 MT,Select Plus 4X4 MT,2014,"97,000 kms",First Owner,Diesel,13.95 Lakh*
3,Hyundai Creta 1.6 CRDi SX Plus,1.6 CRDi SX Plus,2017,"66,000 kms",First Owner,Diesel,11.5 Lakh*
4,Hyundai Elantra 1.6 SX Option,1.6 SX Option,2015,"1,00,200 kms",First Owner,Diesel,7.35 Lakh*
5,Volkswagen Vento 1.5 TDI Highline AT,1.5 TDI Highline AT,2016,"45,000 kms",First Owner,Diesel,9 Lakh*
6,Hyundai Verna 1.6 SX CRDI (O) AT,1.6 SX CRDI (O) AT,2012,"1,29,000 kms",Second Owner,Diesel,4.25 Lakh*
7,Hyundai Verna CRDi 1.6 SX Option,CRDi 1.6 SX Option,2019,"35,000 kms",First Owner,Diesel,12.5 Lakh*
8,Hyundai Creta 1.6 CRDi SX,1.6 CRDi SX,2016,"57,900 kms",First Owner,Diesel,9.75 Lakh*
9,Kia Seltos HTX IVT G,HTX IVT G,2019,"14,000 kms",First Owner,Petrol,14.9 Lakh*
10,Hyundai Grand i10 CRDi Magna,CRDi Magna,2014,"49,000 kms",First Owner,Diesel,4.3 Lakh*
11,Mahindra XUV500 W8 2WD,W8 2WD,2013,"87,000 kms",First Owner,Diesel,8.39 Lakh*
12,Mercedes-Benz E-Class E250 CDI Avantgrade,E250 CDI Avantgrade,2014,"18,000 kms",First Owner,Diesel,27 Lakh*
13,Hyundai i10 Magna 1.2 iTech SE,Magna 1.2 iTech SE,2011,"65,000 kms",Second Owner,Petrol,2.6 Lakh*
14,Maruti Omni MPI STD BSIV,MPI STD BSIV,2018,"1,800 kms",First Owner,Petrol,3.5 Lakh*
15,Chevrolet Beat Diesel LS,Diesel LS,2012,"80,000 kms",First Owner,Diesel,2.6 Lakh*
16,Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,Zeta DDiS 200 SH,2015,"1,00,300 kms",First Owner,Diesel,6.25 Lakh*
17,Honda WR-V i-DTEC VX,i-DTEC VX,2017,"46,000 kms",First Owner,Diesel,8.75 Lakh*
18,Maruti Ciaz ZDi,ZDi,2017,"89,568 kms",First Owner,Diesel,8 Lakh*
19,Toyota Innova Crysta 2016-2020 2.4 VX MT 8S BSIV,2.4 VX MT 8S BSIV,2018,"40,000 kms",First Owner,Diesel,20.5 Lakh*
20,Maruti Swift Dzire Ldi BSIV,Ldi BSIV,2009,"1,12,500 kms",First Owner,Diesel,3.25 Lakh*
21,Honda Jazz 1.2 V i VTEC,1.2 V i VTEC,2015,"85,910 kms",First Owner,Petrol,5.1 Lakh*
22,Maruti Swift 1.3 LXI,1.3 LXI,2005,"50,000 kms",Second Owner,Petrol,1.8 Lakh*
23,Maruti Wagon R VXI AMT Opt 1.2,VXI AMT Opt 1.2,2019,"38,000 kms",Second Owner,Petrol,4.7 Lakh*
24,Hyundai Grand i10 Asta,Asta,2014,"54,000 kms",Third Owner,Petrol,4.25 Lakh*
25,Hyundai i10 Asta,Asta,2011,"40,000 kms",Second Owner,Petrol,2.8 Lakh*
26,Maruti Baleno Sigma,Sigma,2016,"41,383 kms",First Owner,Petrol,5.25 Lakh*
27,Volkswagen Polo Petrol Comfortline 1.2L,Petrol Comfortline 1.2L,2013,"50,000 kms",First Owner,Petrol,4.4 Lakh*
28,Hyundai Santro Xing XO,XO,2006,"70,000 kms",First Owner,Petrol,1.53 Lakh*
29,Hyundai Xcent 1.2 VTVT SX,1.2 VTVT SX,2018,"15,000 kms",First Owner,Petrol,6.2 Lakh*
30,Ford EcoSport 1.5 Petrol Titanium,1.5 Petrol Titanium,2021,"2,500 kms",First Owner,Petrol,9.7 Lakh*
31,Honda City 1.5 S MT,1.5 S MT,2010,"1,00,000 kms",Second Owner,Petrol,4.05 Lakh*
32,Ford Fiesta 1.4 Duratorq ZXI,1.4 Duratorq ZXI,2013,"71,269 kms",First Owner,Diesel,3.2 Lakh*
33,Toyota Etios G,G,2013,"57,580 kms",First Owner,Petrol,4 Lakh*
34,Hyundai i20 Magna 1.4 CRDi,Magna 1.4 CRDi,2011,"53,595 kms",First Owner,Diesel,3.6 Lakh*
35,Maruti Alto K10 2010-2014 VXI,2010-2014 VXI,2010,"66,687 kms",First Owner,Petrol,2.25 Lakh*
36,Maruti Swift VDI,VDI,2012,"1,20,000 kms",First Owner,Diesel,3.75 Lakh*
37,Hyundai i10 Magna 1.2 iTech SE,Magna 1.2 iTech SE,2011,"80,000 kms",Second Owner,Petrol,2.9 Lakh*
38,Skoda Laura Elegance 2.0 TDI CR MT,Elegance 2.0 TDI CR MT,2012,"91,000 kms",First Owner,Diesel,5.5 Lakh*
39,Honda WR-V i-VTEC VX,i-VTEC VX,2018,"17,000 kms",First Owner,Petrol,8.75 Lakh*
40,Honda WR-V i-VTEC VX,i-VTEC VX,2018,"17,000 kms",First Owner,Petrol,8.75 Lakh*
41,Maruti Swift Vdi BSIII,Vdi BSIII,2010,"1,00,000 kms",Second Owner,Diesel,2.8 Lakh*
42,Honda Jazz 1.2 VX i VTEC,1.2 VX i VTEC,2017,"7,000 kms",Second Owner,Petrol,7.2 Lakh*
43,Honda City i VTEC CVT SV,i VTEC CVT SV,2016,"37,000 kms",First Owner,Petrol,7.75 Lakh*
44,Hyundai Verna VTVT 1.6 SX,VTVT 1.6 SX,2018,"14,800 kms",First Owner,Petrol,8.45 Lakh*
45,Ford Fiesta 1.4 Duratorq ZXI,1.4 Duratorq ZXI,2012,"98,447 kms",First Owner,Diesel,2.7 Lakh*
46,Tata Hexa XT,XT,2018,"70,000 kms",First Owner,Diesel,16 Lakh*
47,Honda Amaze S AT i-Vtech,S AT i-Vtech,2013,"90,293 kms",Second Owner,Petrol,4 Lakh*
48,Hyundai i10 Magna 1.2 iTech SE,Magna 1.2 iTech SE,2011,"60,000 kms",Second Owner,Petrol,2.55 Lakh*
49,Toyota Innova 2.5 V Diesel 8-seater,2.5 V Diesel 8-seater,2011,"1,86,000 kms",Third Owner,Diesel,8.5 Lakh*
50,Honda City i DTec V,i DTec V,2016,"60,000 kms",First Owner,Diesel,8 Lakh*
51,Honda WR-V i-VTEC VX,i-VTEC VX,2017,"32,000 kms",Second Owner,Petrol,7.4 Lakh*
52,Volkswagen Vento Diesel Highline,Diesel Highline,2012,"1,29,000 kms",Second Owner,Diesel,4.35 Lakh*
53,Hyundai Grand i10 Sportz,Sportz,2016,"70,000 kms",Second Owner,Petrol,4.26 Lakh*
54,Maruti Swift Dzire Tour LXI,LXI,2015,"1,20,000 kms",Second Owner,Petrol,2.7 Lakh*
55,Mahindra Scorpio VLX 2WD BSIV,VLX 2WD BSIV,2011,"1,10,000 kms",First Owner,Diesel,6.6 Lakh*
56,Mahindra Xylo E8 ABS 8S BSIV,E8 ABS 8S BSIV,2011,"75,000 kms",First Owner,Diesel,5.9 Lakh*
57,Toyota Etios Liva VX,VX,2014,"48,100 kms",First Owner,Petrol,4.6 Lakh*
58,Honda Jazz 1.2 V AT i VTEC,1.2 V AT i VTEC,2017,"35,000 kms",First Owner,Petrol,6.75 Lakh*
59,Hyundai Grand i10 1.2 Kappa Sportz BSIV,1.2 Kappa Sportz BSIV,2018,"22,000 kms",First Owner,Petrol,5.65 Lakh*
60,Maruti Swift Dzire ZXI,ZXI,2015,"45,200 kms",First Owner,Petrol,5.1 Lakh*
61,Hyundai i10 Magna 1.2 iTech SE,Magna 1.2 iTech SE,2011,"60,000 kms",Second Owner,Petrol,2.55 Lakh*
62,Toyota Innova 2.5 G (Diesel) 7 Seater,2.5 G (Diesel) 7 Seater BS IV,2012,"2,00,000 kms",First Owner,Diesel,9.45 Lakh*
63,Toyota Innova 2.5 V Diesel 8-seater,2.5 V Diesel 8-seater,2011,"1,86,000 kms",Third Owner,Diesel,8.5 Lakh*
64,Honda City i DTec V,i DTec V,2016,"60,000 kms",First Owner,Diesel,8 Lakh*
65,Honda WR-V i-VTEC VX,i-VTEC VX,2017,"32,000 kms",Second Owner,Petrol,7.4 Lakh*
66,Volkswagen Vento Diesel Highline,Diesel Highline,2012,"1,29,000 kms",Second Owner,Diesel,4.35 Lakh*
67,Hyundai Grand i10 Sportz,Sportz,2016,"70,000 kms",Second Owner,Petrol,4.26 Lakh*
68,Maruti Swift Dzire Tour LXI,LXI,2015,"1,20,000 kms",Second Owner,Petrol,2.7 Lakh*
69,Mahindra Scorpio VLX 2WD BSIV,VLX 2WD BSIV,2011,"1,10,000 kms",First Owner,Diesel,6.6 Lakh*
70,Mahindra Xylo E8 ABS 8S BSIV,E8 ABS 8S BSIV,2011,"75,000 kms",First Owner,Diesel,5.9 Lakh*
71,Toyota Etios Liva VX,VX,2014,"48,100 kms",First Owner,Petrol,4.6 Lakh*
72,Honda Jazz 1.2 V AT i VTEC,1.2 V AT i VTEC,2017,"35,000 kms",First Owner,Petrol,6.75 Lakh*
73,Hyundai Grand i10 AT Sportz,AT Sportz,2014,"40,169 kms",First Owner,Petrol,4.5 Lakh*
74,Hyundai Grand i10 1.2 Kappa Sportz BSIV,1.2 Kappa Sportz BSIV,2018,"22,000 kms",First Owner,Petrol,5.65 Lakh*
75,Hyundai Santro Xing XO,XO,2005,"60,000 kms",Third Owner,Petrol,1.5 Lakh*
76,Hyundai i10 Sportz 1.2,Sportz 1.2,2009,"75,150 kms",Second Owner,Petrol,2.25 Lakh*
77,Honda City S,S,2012,"35,000 kms",Second Owner,Petrol,4.25 Lakh*
78,Hyundai i10 Asta,Asta,2011,"49,000 kms",Second Owner,Petrol,3 Lakh*
79,Maruti Zen Estilo LXI BS IV,LXI BS IV,2012,"38,749 kms",Second Owner,Petrol,2.2 Lakh*
80,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,1.5 Diesel Titanium Plus BSIV,2017,"1,20,000 kms",First Owner,Diesel,7.5 Lakh*
81,Maruti Wagon R VXI,VXI,2016,"46,122 kms",First Owner,Petrol,4.1 Lakh*
82,Ford Figo 1.5D Titanium MT,1.5D Titanium MT,2010,"83,851 kms",First Owner,Diesel,2.5 Lakh*
83,Hyundai i10 Sportz,Sportz,2011,"60,000 kms",Second Owner,Petrol,2.8 Lakh*
84,Mahindra Scorpio 2.6 SLX,2.6 SLX,2005,"96,843 kms",Fourth & Above Owner,Diesel,2.4 Lakh*
85,Maruti Swift Dzire VXI Optional,VXI Optional,2016,"32,275 kms",First Owner,Petrol,6.09 Lakh*
86,Mahindra Bolero Power Plus ZLX,ZLX,2018,"35,295 kms",First Owner,Diesel,9 Lakh*
87,Maruti Swift VXI BSIII,VXI BSIII,2008,"90,000 kms",Second Owner,Petrol,3 Lakh*
88,Mahindra Scorpio LX,LX,2012,"1,11,100 kms",Second Owner,Diesel,5.8 Lakh*
89,Ford Fiesta Classic 1.4 Duratorq CLXI,1.4 Duratorq CLXI,2012,"1,20,000 kms",Second Owner,Diesel,2.7 Lakh*
90,Hyundai EON Magna Plus,Magna Plus,2016,"30,000 kms",First Owner,Petrol,3.35 Lakh*
91,Maruti Ciaz 1.4 Delta,1.4 Delta,2018,"38,000 kms",First Owner,Petrol,8.5 Lakh*
92,Tata Indica Vista Aura 1.3 Quadrajet,Aura 1.3 Quadrajet,2010,"90,077 kms",First Owner,Diesel,2.4 Lakh*
93,Maruti Omni MPI STD BSIV,MPI STD BSIV,2018,"20,000 kms",First Owner,Petrol,3.4 Lakh*
94,Volkswagen Polo 1.2 MPI Comfortline,1.2 MPI Comfortline,2016,"60,000 kms",First Owner,Petrol,5.5 Lakh*
95,Ford Figo 1.5D Trend MT,1.5D Trend MT,2016,"60,000 kms",First Owner,Diesel,4.25 Lakh*
96,Maruti Swift Dzire ZXI,ZXI,2013,"70,000 kms",Second Owner,Petrol,4.2 Lakh*
97,Nissan Micra Diesel XV,Diesel XV,2011,"65,000 kms",First Owner,Diesel,3 Lakh*
98,Ford EcoSport 1.5 Petrol Titanium Plus AT BSIV,1.5 Petrol Titanium Plus AT BSIV,2018,"24,000 kms",First Owner,Petrol,9.45 Lakh*
99,Nissan Micra Diesel XV,Diesel XV,2011,"65,000 kms",First Owner,Diesel,3 Lakh*
100,Ford EcoSport 1.5 Petrol Titanium Plus AT BSIV,1.5 Petrol Titanium Plus AT BSIV,2018,"24,000 kms",First Owner,Petrol,9.45 Lakh*
101,Hyundai i20 Asta (o),Asta (o),2009,"85,000 kms",Second Owner,Petrol,3.5 Lakh*
102,Maruti Celerio ZXI,ZXI,2015,"49,291 kms",First Owner,Petrol,4 Lakh*
103,Hyundai EON D Lite Plus,D Lite Plus,2012,"15,000 kms",First Owner,Petrol,2.6 Lakh*
104,Maruti Alto K10 LXI,LXI,2016,"53,000 kms",First Owner,Petrol,3 Lakh*
105,Maruti Eeco 7 Seater Standard BSIV,7 Seater Standard BSIV,2012,"70,000 kms",First Owner,Petrol,2.1 Lakh*
106,Hyundai i10 Sportz,Sportz,2013,"30,000 kms",Third Owner,Petrol,3.2 Lakh*
107,Maruti Celerio ZXI,ZXI,2016,"20,000 kms",First Owner,Petrol,4.3 Lakh*
108,Hyundai i20 Sportz 1.2,Sportz 1.2,2013,"84,851 kms",First Owner,Petrol,3.8 Lakh*
109,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,1.5 Diesel Titanium Plus BSIV,2017,"42,500 kms",Second Owner,Diesel,7 Lakh*
110,Renault Lodgy 85PS RxZ,85PS RxZ,2015,"90,000 kms",Second Owner,Diesel,6.15 Lakh*
111,Maruti Swift 1.3 VXi,1.3 VXi,2007,"80,000 kms",Second Owner,Petrol,2.1 Lakh*
112,Hyundai Grand i10 Sportz,Sportz,2014,"45,728 kms",First Owner,Petrol,4.3 Lakh*
113,Maruti Zen LX,LX,1997,"40,000 kms",First Owner,Petrol,1.25 Lakh*
114,Hyundai i20 2015-2017 Magna 1.2,Magna 1.2,2016,"60,000 kms",First Owner,Petrol,5.25 Lakh*
115,Maruti Swift Dzire VDI,VDI,2015,"1,20,000 kms",First Owner,Diesel,6.2 Lakh*
116,Hyundai Grand i10 Asta Option,Asta Option,2017,"50,000 kms",First Owner,Petrol,5.2 Lakh*
117,Honda Jazz 1.2 VX i VTEC,1.2 VX i VTEC,2016,"23,870 kms",First Owner,Petrol,6.2 Lakh*
118,Maruti Ritz VXI,VXI,2010,"70,000 kms",Second Owner,Petrol,2.75 Lakh*
119,Hyundai i10 Asta,Asta,2011,"49,000 kms",Second Owner,Petrol,3 Lakh*
120,Maruti Zen Estilo LXI BS IV,LXI BS IV,2012,"38,749 kms",Second Owner,Petrol,2.2 Lakh*
121,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,1.5 Diesel Titanium Plus BSIV,2017,"1,20,000 kms",First Owner,Diesel,7.5 Lakh*
122,Mahindra XUV500 R W10 FWD,R W10 FWD,2016,"80,000 kms",First Owner,Diesel,12.69 Lakh*
123,Maruti Wagon R VXI,VXI,2016,"46,122 kms",First Owner,Petrol,4.1 Lakh*
124,Ford Figo 1.5D Titanium MT,1.5D Titanium MT,2010,"83,851 kms",First Owner,Diesel,2.5 Lakh*
125,Hyundai i10 Sportz,Sportz,2011,"60,000 kms",Second Owner,Petrol,2.8 Lakh*
126,Maruti Swift VXI,VXI,2010,"78,337 kms",Second Owner,Petrol,3 Lakh*
127,Audi Q5 35TDI Technology,35TDI Technology,2018,"34,000 kms",First Owner,Diesel,48.6 Lakh*
128,Mahindra Scorpio 2.6 SLX,2.6 SLX,2005,"96,843 kms",Fourth & Above Owner,Diesel,2.4 Lakh*
129,Maruti Swift Dzire VXI Optional,VXI Optional,2016,"32,275 kms",First Owner,Petrol,6.09 Lakh*
130,Mahindra Bolero Power Plus ZLX,ZLX,2018,"35,295 kms",First Owner,Diesel,9 Lakh*
131,Mahindra XUV500 2011-2015 W8 FWD,W8 FWD,2013,"1,08,000 kms",First Owner,Diesel,8.65 Lakh*
132,Maruti Swift VXI BSIII,VXI BSIII,2008,"90,000 kms",Second Owner,Petrol,3 Lakh*
133,Mahindra Scorpio LX,LX,2012,"1,11,100 kms",Second Owner,Diesel,5.8 Lakh*
134,Ford Fiesta Classic 1.4 Duratorq CLXI,1.4 Duratorq CLXI,2012,"1,20,000 kms",Second Owner,Diesel,2.7 Lakh*
135,Hyundai EON Magna Plus,Magna Plus,2016,"30,000 kms",First Owner,Petrol,3.35 Lakh*
136,Nissan Micra Active XV Petrol,XV Petrol,2018,"45,013 kms",First Owner,Petrol,4.7 Lakh*
137,Maruti Ciaz 1.4 Delta,1.4 Delta,2018,"38,000 kms",First Owner,Petrol,8.5 Lakh*
138,Mahindra NuvoSport N8,N8,2016,"62,900 kms",First Owner,Diesel,6.5 Lakh*
139,Tata Indica Vista Aura 1.3 Quadrajet,Aura 1.3 Quadrajet,2010,"90,077 kms",First Owner,Diesel,2.4 Lakh*
140,Maruti Wagon R VXI,VXI,2010,"77,000 kms",First Owner,Petrol,2.75 Lakh*
141,Maruti Omni MPI STD BSIV,MPI STD BSIV,2018,"20,000 kms",First Owner,Petrol,3.4 Lakh*
142,Toyota Fortuner 4x4 MT,4x4 MT,2012,"1,14,354 kms",Second Owner,Diesel,13.7 Lakh*
143,Volkswagen Polo 1.2 MPI Comfortline,1.2 MPI Comfortline,2016,"60,000 kms",First Owner,Petrol,5.5 Lakh*
144,Ford Figo 1.5D Trend MT,1.5D Trend MT,2016,"60,000 kms",First Owner,Diesel,4.25 Lakh*
145,Maruti Swift Dzire ZXI,ZXI,2013,"70,000 kms",Second Owner,Petrol,4.2 Lakh*
146,Nissan Micra Diesel XV,Diesel XV,2011,"65,000 kms",First Owner,Diesel,3 Lakh*
147,Ford EcoSport 1.5 Petrol Titanium Plus AT BSIV,1.5 Petrol Titanium Plus AT BSIV,2018,"24,000 kms",First Owner,Petrol,9.45 Lakh*
148,Hyundai i20 Asta (o),Asta (o),2009,"85,000 kms",Second Owner,Petrol,3.5 Lakh*
149,Maruti Celerio ZXI,ZXI,2015,"49,291 kms",First Owner,Petrol,4 Lakh*
150,Hyundai EON Era Plus,Era Plus,2014,"39,000 kms",Second Owner,Petrol,2.8 Lakh*
151,Maruti Swift 1.3 LXI,1.3 LXI,2008,"66,000 kms",Second Owner,Petrol,3 Lakh*
152,Hyundai EON D Lite Plus,D Lite Plus,2012,"15,000 kms",First Owner,Petrol,2.6 Lakh*
153,Maruti Alto K10 LXI,LXI,2016,"53,000 kms",First Owner,Petrol,3 Lakh*
154,Maruti Eeco 7 Seater Standard BSIV,7 Seater Standard BSIV,2012,"70,000 kms",First Owner,Petrol,2.1 Lakh*
155,Hyundai i10 Sportz,Sportz,2013,"30,000 kms",Third Owner,Petrol,3.2 Lakh*
156,Maruti Celerio ZXI,ZXI,2016,"20,000 kms",First Owner,Petrol,4.3 Lakh*
157,Hyundai i20 Sportz 1.2,Sportz 1.2,2013,"84,851 kms",First Owner,Petrol,3.8 Lakh*
158,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,1.5 Diesel Titanium Plus BSIV,2017,"42,500 kms",Second Owner,Diesel,7 Lakh*
159,Renault Lodgy 85PS RxZ,85PS RxZ,2015,"90,000 kms",Second Owner,Diesel,6.15 Lakh*
160,Maruti Swift 1.3 VXi,1.3 VXi,2007,"80,000 kms",Second Owner,Petrol,2.1 Lakh*
161,Hyundai Grand i10 Sportz,Sportz,2014,"45,728 kms",First Owner,Petrol,4.3 Lakh*
162,Maruti Zen LX,LX,1997,"40,000 kms",First Owner,Petrol,1.25 Lakh*
163,Hyundai i20 2015-2017 Magna 1.2,Magna 1.2,2016,"60,000 kms",First Owner,Petrol,5.25 Lakh*
164,Maruti Swift Dzire VDI,VDI,2015,"1,20,000 kms",First Owner,Diesel,6.2 Lakh*
165,Hyundai Grand i10 Asta Option,Asta Option,2017,"50,000 kms",First Owner,Petrol,5.2 Lakh*
166,Honda Jazz 1.2 VX i VTEC,1.2 VX i VTEC,2016,"23,870 kms",First Owner,Petrol,6.2 Lakh*
167,Maruti Swift Dzire AMT ZDI,AMT ZDI,2016,"75,000 kms",First Owner,Diesel,6.4 Lakh*
168,Maruti Ritz VXI,VXI,2010,"70,000 kms",Second Owner,Petrol,2.75 Lakh*
169,Honda Jazz 1.2 V i VTEC,1.2 V i VTEC,2015,"39,600 kms",First Owner,Petrol,5.4 Lakh*
170,Ford Fiesta Diesel Titanium Plus,Diesel Titanium Plus,2013,"69,200 kms",Second Owner,Diesel,4.35 Lakh*
171,Ford Classic 1.4 Duratorq CLXI,1.4 Duratorq CLXI,2014,"53,000 kms",First Owner,Diesel,4.25 Lakh*
172,Renault Pulse RxZ,RxZ,2016,"98,463 kms",Second Owner,Diesel,3.1 Lakh*
173,Maruti Baleno Zeta Automatic,1.2 CVT Zeta,2017,"60,000 kms",Second Owner,Petrol,5.5 Lakh*
174,Maruti A Star Lxi,Lxi,2010,"53,665 kms",First Owner,Petrol,2.3 Lakh*
175,Volkswagen Vento 1.6 Highline,1.6 Highline,2015,"84,115 kms",First Owner,Petrol,5.5 Lakh*
176,Maruti Esteem Vxi - BSIII,Vxi - BSIII,1995,"80,000 kms",Second Owner,Petrol,1 Lakh*
177,Toyota Innova Crysta 2016-2020 2.4 ZX AT,2.4 ZX AT,2020,"2,500 kms",First Owner,Diesel,28 Lakh*
178,Maruti Baleno Delta CVT,Delta CVT,2016,"40,000 kms",First Owner,Petrol,6.5 Lakh*
179,Volkswagen Polo Petrol Comfortline 1.2L,Petrol Comfortline 1.2L,2013,"67,200 kms",First Owner,Petrol,4.25 Lakh*
180,Toyota Corolla Altis D-4D G,D-4D G,2014,"1,40,000 kms",First Owner,Diesel,8.5 Lakh*
181,BMW 5 Series 520d,520d,2010,"90,000 kms",Third Owner,Diesel,7.5 Lakh*
182,Ford Figo Petrol Celebration Edition,Petrol Celebration Edition,2013,"80,000 kms",First Owner,Petrol,2.2 Lakh*
183,Toyota Platinum Etios 1.4 VXD,1.4 VXD,2015,"89,000 kms",Second Owner,Diesel,6.5 Lakh*
184,Honda Jazz 1.2 VX i VTEC,1.2 VX i VTEC,2016,"62,576 kms",First Owner,Petrol,5.75 Lakh*
185,Toyota Innova 2.5 V Diesel 7-seater,2.5 V Diesel 7-seater,2009,"2,06,000 kms",First Owner,Diesel,7.5 Lakh*
186,Hyundai i10 Magna 1.1,Magna 1.1,2010,"52,000 kms",Second Owner,Petrol,2.5 Lakh*
187,Hyundai i20 Sportz 1.4 CRDi,Sportz 1.4 CRDi,2013,"70,436 kms",Second Owner,Diesel,3.75 Lakh*
188,Renault Duster 85PS Diesel RxL,85PS Diesel RxL,2013,"60,000 kms",Second Owner,Diesel,4.5 Lakh*
189,Maruti Swift ZDI BSIV,ZDI BSIV,2015,"40,000 kms",First Owner,Diesel,5.75 Lakh*
190,Maruti Swift Dzire Tour S,S,2018,"50,000 kms",First Owner,CNG,5.35 Lakh*
191,Maruti Baleno Delta 1.2,1.2 Delta,2017,"70,000 kms",First Owner,Petrol,5.5 Lakh*
192,Ford Classic 1.4 Duratorq CLXI,1.4 Duratorq CLXI,2013,"1,50,000 kms",First Owner,Diesel,3 Lakh*
193,Ford Figo Diesel Titanium,Diesel Titanium,2010,"70,000 kms",Third Owner,Diesel,2.65 Lakh*
194,Maruti Swift Dzire VXI,VXI,2013,"66,500 kms",First Owner,Petrol,4.75 Lakh*
195,Hyundai i20 1.2 Spotz,1.2 Spotz,2010,"64,325 kms",First Owner,Petrol,3.4 Lakh*
196,Audi Q5 2.0 TDI,2.0 TDI,2012,"75,001 kms",Second Owner,Diesel,13.5 Lakh*
197,Volkswagen Polo 1.5 TDI Highline,1.5 TDI Highline,2013,"80,000 kms",Second Owner,Diesel,3.75 Lakh*
198,Maruti Swift 1.3 VXI ABS,1.3 VXI ABS,2007,"1,60,000 kms",Third Owner,Petrol,1.8 Lakh*
199,Honda Amaze SX i-VTEC,SX i VTEC,2017,"40,000 kms",Second Owner,Petrol,4.5 Lakh*
200,Honda City i-VTEC V,i-VTEC V,2018,"15,000 kms",First Owner,Petrol,9.5 Lakh*
201,Maruti Eeco 5 Seater AC BSIV,5 Seater AC BSIV,2012,"85,000 kms",First Owner,Petrol,2.3 Lakh*
202,Renault Duster Adventure Edition RXZ AWD,Adventure Edition RXZ AWD,2017,"23,000 kms",Second Owner,Diesel,8.75 Lakh*
203,Hyundai i10 Magna 1.2 iTech SE,Magna 1.2 iTech SE,2009,"68,000 kms",Second Owner,Petrol,2.18 Lakh*
204,Tata Indica DLX,DLX,2007,"35,000 kms",First Owner,Diesel,1.25 Lakh*
205,Ford Freestyle Titanium Petrol BSIV,Titanium Petrol BSIV,2018,"22,000 kms",First Owner,Petrol,6.25 Lakh*
206,Maruti Vitara Brezza ZXI Plus AT,ZXI Plus AT,2021,"1,800 kms",First Owner,Petrol,11.99 Lakh*
207,BMW 7 Series 730Ld DPE Signature,730Ld DPE Signature,2016,"54,000 kms",Second Owner,Diesel,56.5 Lakh*
208,Ford Ikon 1.6 ZXI,1.6 ZXI,2003,"1,00,000 kms",Third Owner,Petrol,1.1 Lakh*
209,Mahindra TUV 300 T8 AMT,T8 AMT,2016,"38,000 kms",First Owner,Diesel,8.75 Lakh*
210,Maruti Baleno Sigma 1.2,1.2 Sigma,2016,"60,000 kms",First Owner,Petrol,5.45 Lakh*
211,Honda City 1.5 V MT,1.5 V MT,2011,"40,000 kms",Second Owner,Petrol,4.35 Lakh*
212,Mahindra XUV500 AT W6 1.99 mHawk,AT W6 1.99 mHawk,2016,"60,000 kms",Second Owner,Diesel,9.79 Lakh*
213,Maruti 800 DX 5 Speed,DX 5 Speed,2000,"70,000 kms",Third Owner,Petrol,"94,000*"
214,Ford EcoSport 1.5 Petrol Titanium AT,1.5 Petrol Titanium AT,2016,"92,000 kms",Second Owner,Petrol,6.25 Lakh*
215,Audi A4 New 2.0 TDI Multitronic,New 2.0 TDI Multitronic,2011,"68,500 kms",Third Owner,Diesel,13 Lakh*
216,Tata Nano XTA,XTA,2016,"25,000 kms",First Owner,Petrol,2.55 Lakh*
217,Maruti Alto K10 VXI,VXI,2010,"66,687 kms",First Owner,Petrol,2.25 Lakh*
218,Maruti Ritz VXI,VXI,2010,"1,13,998 kms",Second Owner,Petrol,2.1 Lakh*
219,Ford Figo Petrol ZXI,Petrol ZXI,2013,"50,000 kms",First Owner,Petrol,3 Lakh*
220,Honda City 1.5 V MT,1.5 V MT,2011,"1,08,733 kms",First Owner,Petrol,4 Lakh*
221,Honda City 1.5 S AT,1.5 S AT,2012,"54,000 kms",First Owner,Petrol,5.45 Lakh*
222,BMW 7 Series 730Ld,730Ld,2015,"40,000 kms",Second Owner,Diesel,38 Lakh*
223,Volkswagen Vento 1.6 Highline,1.6 Highline,2015,"47,000 kms",First Owner,Petrol,6 Lakh*
224,Maruti Swift 1.3 VXi,1.3 VXi,2005,"54,000 kms",Third Owner,Petrol,1.89 Lakh*
225,Honda City i-VTEC CVT V,i-VTEC CVT V,2018,"15,000 kms",First Owner,Petrol,9.99 Lakh*
226,Maruti Alto 800 LXI,LXI,2014,"60,000 kms",First Owner,Petrol,2.5 Lakh*
227,Maruti Baleno Alpha Automatic,1.2 CVT Alpha,2018,"22,000 kms",First Owner,Petrol,7.5 Lakh*
228,Volkswagen Polo GT TSI,GT TSI,2016,"57,370 kms",Second Owner,Petrol,6.25 Lakh*
229,Nissan Terrano XE 85 PS,XE 85 PS,2014,"46,000 kms",First Owner,Diesel,5.75 Lakh*
